symbol_or_name,meaning,theory_anchor,implementation_anchor
p0,target quantile probability,"main.tex:256-262","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:36-38"
gamma,support/asymmetry parameter in exAL,"main.tex:256-262","R/environmetrics/02_helpers_core.R:1504-1533"
sigma,exAL scale parameter,"main.tex:264-270","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1695-1716"
A,B,C,exAL coefficient maps from gamma and p0,"main.tex:256-260","R/environmetrics/02_helpers_core.R:1516-1533"
theta_t,baseline dynamic state,"main.tex:63-66","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1347-1365"
zeta_t,transfer intercept/location state,"main.tex:67-68","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1475-1506"
psi_t,transfer coefficient state,"main.tex:69-70","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1475-1506"
delta_t_j,retrospective or forecast discrepancy state for source j,"main.tex:107-110","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1388-1439; 1458-1467"
alpha_t,historical stacked state with transfer,"main.tex:73-99","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1458-1506"
beta_t_s,forecast segment state in keep mode,"main.tex:168-186","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1575-1613"
v_t / u_t,positive exponential/GIG latent scale,"main.tex:247-252; 323-342","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1833-1879"
s_t,positive-truncated normal latent skew term,"main.tex:247-252; 344-360","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1795-1815"
FFF / ex_f,pseudo-data additive offset supplied to Kalman core,"main.tex:711-721; 956-967","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3539; DISC_kalman_synth_transfer_forecast.cpp:1157"
QQQ / ex_q,pseudo-observation covariance supplied to Kalman core,"main.tex:711-721; 956-967","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3540-3545; DISC_kalman_synth_transfer_forecast.cpp:1158"
FFF_forecast / ex_f_list_ens,forecast member pseudo-data offset,"main.tex:947-967","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3552-3565; DISC_kalman_synth_transfer_forecast.cpp:1265-1269"
QQQ_forecast / ex_q_list_ens,forecast member pseudo-observation covariance,"main.tex:947-967","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3567-3587; DISC_kalman_synth_transfer_forecast.cpp:1271-1274"
num_mem,forecast members per source,"main.tex:56-57","R/disc_w/04_ensemble_bookkeeping.R:18-38"
ranges,forecast lead count per source,"main.tex:56-57","R/disc_w/04_ensemble_bookkeeping.R:18-38"
ppx,transfer tail dimension 1+px,"main.tex:166-186","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1473-1478"
